"text","label"
"рнф объявляет конкурс для малых отдельных научных групп","Новости Фонда"
"глубоко под горой физики разгадывают тайны микромира","Интервью"
"создан алгоритм для безопасного разворачивания радиорефлекторов зондов","Инженерные науки"
"открыто новое семейство белков","Биология"
"факторы окружающей среды академик ран о профилактике и лечении сезонной аллергии","Интервью"
"участники всероссийской школыконференции молодых ученых биология наука xxi века посетили мастеркласс рнф по научной коммуникации","Новости Фонда"
"новый алгоритм для выявления границ клеток улучшит диагностику рака","Физика и космос"
"люди каменного века умели использовать окружающий ландшафт для своих целей","Гуманитарные науки"
"деталь для гибкой и прозрачной электроники нарисовали нанотрубками по трафарету","Физика и космос"
"предложен новый способ по борьбе с сибирским шелкопрядом","Сельское хозяйство"
"новая математическая функция поможет на точнее классифицировать биомедицинские сигналы и диагностировать заболевания мозга","Математика"
"в тпу cоздали гибкие электрохимические сенсоры с помощью лазерных технологий","Физика и космос"
"российские ученые выяснили как работает антимикробный пептид из морского червя","Биология"
"андрей блинов провел встречу с представителями профсоюза работников ран","Новости Фонда"
"новая защита для промышленных и медицинских изделий","Инженерные науки"
"опубликован новый выпуск дайджеста открывай с рнф","Новости Фонда"
"стартовал прием заявок для молодых ученых на соискание премии правительства москвы","Новости Фонда"
"мобильные генетические элементы могут непреднамеренно подавлять иммунитет бактерий","Биология"
"замеры загрязнения почв тяжелыми металлами ускорили в раз","Науки о Земле"
"в томске создали композиты способные лучше поглощать электромагнитное излучение","Инженерные науки"
"создано биоразлагаемое защитное покрытие для титановых имплантатов","Химия и материалы"
"в сеченовском университете предложили бороться с вирусными инфекциями активируя внутриклеточный иммунитет","Медицина"
"водород не утечёт топливо будущего упрятали за решётку нового вещества","Физика и космос"
"в скфу разработали новые вещества для лечения агрессивных форм рака","Химия и материалы"
"ученые увидели топологические эффекты в новом метаматериале из волноводов","Физика и космос"
"ученые улучшили модель снежного покрова для более точных прогнозов изменения климата","Науки о Земле"
"дмитрий чернышенко провел рабочую встречу с генеральным директором рнф владимиром беспаловым","Новости Фонда"
"здоровые митохондрии помогли замедлить развитие наследственной мышечной дистрофии у мышей","Медицина"
"историю заселения сибирского озера шира реконструировали с помощью донных отложений","Науки о Земле"
"создан новый способ определения тяжелых металлов в мясе","Химия и материалы"
"новый организм в черном море назвали в честь братьев стругацких","Биология"
"микроб строитель ученые создают самозалечивающийся долговечный материал","Интервью"
"эксперты рнф оценят заявки на всероссийский фотоконкурс снимай науку","Новости Фонда"
"упрощен синтез электродов для суперконденсаторов электромобилей","Химия и материалы"
"гомологический подход поможет подбирать материалы для топливных элементов","Химия и материалы"
"сквозь кроличью нору к далеким квазарам","Интервью"
"создана долгоживущая культура клеток для регенеративной медицины","Медицина"
"отходы целлюлознобумажного производства помогут извлекать металлы","Инженерные науки"
"в россии придумали новый способ озеленить химическую промышленность","Химия и материалы"
"инновация в ветеринарии бесконтактное лечение уток","Сельское хозяйство"
"уникальные золотые наночастицы для биомедицины","Физика и космос"
"российские ученые создали долгоживущую ультрахолодную плазму","Физика и космос"
"пористый характер ученые нашли новый способ очистки почвы воды и нефти","Инженерные науки"
"научная группа tersteam развивает новые методы синтеза и обработки наноматериалов для гибкой электроники","Физика и космос"
"хорошая генетика пастушьей сумки позволила ей распространиться по всему миру","Биология"
"в лэти разработали высокоточную систему выявления дефектов на рельсах","Инженерные науки"
"обнаружен признак для прогноза эффективности лечения женского рака","Медицина"
"открытие в микроразмерной химии как никелевые и медные катализаторы самонастраиваются для создания новых соединений","Химия и материалы"
"владимир беспалов назначен генеральным директором российского научного фонда","Новости Фонда"
"открыта регистрация на xii всероссийский съезд советов молодых ученых и студенческих научных обществ","Новости Фонда"
"ученые открыли гены узорчатости древесины карельской березы","Сельское хозяйство"
"померить температуру изнутри соединения европия улучшили чувствительность светящихся термометров","Химия и материалы"
"в россии разработали катализатор для экологичного получения молочной кислоты","Химия и материалы"
"с помощью сапфировых кристаллов ученые нашли способ в разы усилить терагерцевое излучение","Инженерные науки"
"стартует новый сезон конкурса снимай науку","Новости Фонда"
"начался прием документов на соискание премии президента российской федерации в области науки и инноваций для молодых ученых","Новости Фонда"
"опубликован отчет о результатах деятельности российского научного фонда в году","Новости Фонда"
"органические пленки сделают электроды для экг нечувствительными к поту","Химия и материалы"
"рнф объявил победителей конкурсов по выполнению исследований в области микроэлектроники","Новости Фонда"
"ученые томского политеха исследовали процесс проникновения гидрогелевых биочернил в поры мембранных материалов при dбиопечати","Инженерные науки"
"рнф объявил отобранные для финансирования междисциплинарные проекты и проекты отдельных научных групп","Новости Фонда"
"химический дисбаланс в организме может привести к хроническим заболеваниям","Медицина"
"рнф ведет диалог о сотрудничестве с кубой","Новости Фонда"
"российские ученые обучили ии подбирать эффективную защиту для глаз от лазерного излучения","Химия и материалы"
"ученые нгу впервые провели радиоуглеродный анализ образцов из памятника андроновской культуры вахрушево","Гуманитарные науки"
"в итмо создали более долговечные синие перовскитные светодиоды","Физика и космос"
"ученые научились управлять мощностью электронного пучка в течение его импульса","Инженерные науки"
"ученые тпу научились контролировать упаковку кристаллических решеток стабильных радикалов","Химия и материалы"
"ученые нгту нэти преобразуют энергетический мусор в электроэнергию","Инженерные науки"
"машинное обучение помогает точно определять соленость моря в арктике","Науки о Земле"
"узоры на кристаллах сделали кремниевый фотодетектор в два раза чувствительнее к свету","Инженерные науки"
"визуализирована структура джета черной дыры","Физика и космос"
"биологи разоблачили стратегии маскировки раковых клеток от химиотерапии","Биология"
"биологи обнаружили в сибири новый вид сусликов","Биология"
"получены сразу два востребованных полимера из мискантуса гигантского","Химия и материалы"
"ученые кфу выяснили как электрон может эффективно взаимодействовать со сжатым фотоном","Физика и космос"
"новая нанокерамика улучшит яркость и детализацию экранов смартфонов и телевизоров","Физика и космос"
"ученые предложили технологию защиты материалов для авиастроения","Инженерные науки"
"открыт прием заявок на премию в области корпоративных инноваций generations innovation award","Новости Фонда"
"от чего зависит ускорение потепления арктики","Науки о Земле"
"в итмо разработали платформу для изучения коммуникации между клетками она поможет создать систему таргетной доставки лекарств","Химия и материалы"
"нейросеть помогла биоинженерам мфти создать новые флавинсвязывающие белки","Биология"
"химики спбгу обнаружили новую экологичную каталитическую систему","Химия и материалы"
"в томске выяснили что пищевые аллергии влияют на эмоциональное состояние","Медицина"
"плазменная нить повысит скорость и эффективность химического синтеза","Физика и космос"
"ученые мфти нашли способ поиска вихрей в северном полушарии","Науки о Земле"
"инновации в нейрохирургии новый подход упростит мониторинг кровотока при операциях на головном мозге","Медицина"
"ученые выявили причину опасных нарушений ритма сердца у молодежи","Медицина"
"в нгту создали уникальный детектор микроволновых фотонов для изучения темной материи","Инженерные науки"
"генетика в помощь онкологии","Медицина"
"новосибирские ученые выяснили что разрезающий днк белок не нарушает систему репарации клеток","Биология"
"химики заставили палладий светиться","Химия и материалы"
"ученые рекордно повысили скорость реакции получения водорода из муравьиной кислоты","Химия и материалы"
"российские ученые выяснили что лечение рака кожи зависит от бактерий в кишечнике","Медицина"
"встреча представителей фонда с научной общественностью ульяновской области","Новости Фонда"
"электростанции произведут больше энергии с новым покрытием лопастей газовых турбин","Физика и космос"
"рнф утвердил результаты экспертизы заявок по совместному с mes конкурсу","Новости Фонда"
"лесные пожары ускоряют накопление радиоактивного свинца в морях арктики","Науки о Земле"
"метод производства композитов для создания не требующих смазки подшипников","Химия и материалы"
"представители фонда провели семинар о программе поддержки фундаментальных и поисковых исследований для вниижт","Новости Фонда"
"химики предложили новый метод получения ионогелей для экстракционных технологий","Химия и материалы"
"создана модель для улучшения контроля над полетами на сверхзвуке","Инженерные науки"
"органические ионы сделают синтез азотсодержащих веществ для фармацевтики экологичнее","Химия и материалы"
"представители рнф и грантополучатели фонда приняли участие во всемирном фестивале молодежи","Новости Фонда"
"ученые выявили особенности болот влияющие на климат","Науки о Земле"
"энергоэффективность мозга российские физики разработали элементную базу для нейроморфной квантовой нейросети","Физика и космос"
"в нарушенных травяных экосистемах процветают более мелкие и быстрые виды","Биология"
"желтый свет обезвредит спящие очаги туберкулеза за полчаса","Медицина"
"предсказаны новые галогениды для солнечной и водородной энергетики","Химия и материалы"
"разработка итмо защитит изделия из стекла от подделок","Инженерные науки"
"разработаны оптические методы диагностики для изучения опухолевых клеток","Медицина"
"как изменение климата влияет на характеристики морского льда","Науки о Земле"
"двумерный композит российские ученые вырастили в графене алмазные наноструктуры","Физика и космос"
"рнф открывает прием заявок на региональные конкурсы года","Новости Фонда"
"более проектов получат поддержку рнф по итогам региональных конкурсов","Новости Фонда"
"вулкан как фабрика тепла геофизики предлагают новые способы электрификации городов","Интервью"
"лишайники будут выделять больше парниковых газов при изменении климата","Биология"
"как смочить полимер перспективы пучковоплазменных технологий","Инженерные науки"
"опубликована стратегия развития российского научного фонда на период до года","Новости Фонда"
"российские биологи выяснили что вещество из печени кальмара подавляет воспаления при ишемии почек","Медицина"
"созданы прозрачные электроды для покрытий умных окон","Инженерные науки"
"в астрахани разработали плёнкинагреватели для запотевших стекол","Математика"
"сириус планирует выпустить орфанные препараты уже в году","Другое"
"для авиастроения и космической промышленности российские ученые разработали новые высокотехнологичные сплавы","Инженерные науки"
"ученые разработали новую технологию синтеза наночастиц берлинской лазури","Медицина"
"уровень воды в древнем каспии был на десятки метров выше современного изза изменений палеоклимата","Науки о Земле"
"новая модель позволит прогнозировать погоду с заблаговременностью до полугода","Математика"
"меткашпион поможет ученым измерить температуру поверхности белковых молекул","Физика и космос"
"биологи открыли более ста полезных для фармацевтики веществ в японском цветке","Биология"
"лекторий рнф наука за минут прошел в рамках международной выставкифорума россия","Новости Фонда"
"марганцевый катализатор поможет производить силиконы для медицины под действием солнечного света","Химия и материалы"
"математики юургу научили компьютер ранжировать валютные депозиты и корректировать портфель акций","Математика"
"в итмо научились предсказывать свойства углеродных наночастиц для диагностики рака","Химия и материалы"
"полимерные наногели сделают аккумуляторы более дешевыми и экологичными","Химия и материалы"
"бесконтактный способ контроля дефектов в полимерных композитах и пенометаллах","Инженерные науки"
"петуния вместо лампы как ученые научили растения излучать свет","Биология"
"физики показали что форма контактов определяет фототок","Физика и космос"
"александр хлунов и грантополучатели фонда приняли участие в работе форума будущих технологий","Новости Фонда"
"подведены итоги зимней отчетной кампании","Новости Фонда"
"ученые выявили взаимосвязь иммунитета с возможностью противостоять фиброзу","Медицина"
"ученые юургу нашли способ в раз уменьшить металлургические выхлопы","Инженерные науки"
"подведены итоги совместного конкурса рнф и dst департамента науки и технологий министерства науки и технологий республики индия","Новости Фонда"
"создан эффективный электрод на основе сульфида германия для литийионных аккумуляторов","Химия и материалы"
"кости птиц на стоянках древних людей рассказали об изменении маршрутов миграций","Гуманитарные науки"
"в рамках дней науки состоялись встречи руководства фонда и научной общественности оренбургской области и хантымансийского автономного округа","Новости Фонда"
"фестиваль громкий голос российской науки при участии грантополучателей рнф состоялся в зарядье","Новости Фонда"
"российские ученые создали органические красители для солнечных панелей","Химия и материалы"
"ученые нашли нашли способ активировать один из важнейших белков в клетках человека","Биология"
"генетики обновили базу моделей последовательностей в днк связывающих транскрипционные факторы","Биология"
"олег астафьев квантовая акустика появилась благодаря сверхпроводниковым искусственным атомам","Интервью"
"когда металл заменяет кость","Физика и космос"
"в россии исследовали структуру уникального фермента удаляющего повреждения днк","Биология"
"грантополучатели рнф примут участие в научнопопулярном фестивале громкий голос российской науки в зарядье приуроченному ко дню российской науки","Новости Фонда"
"в день российской науки состоялось заседание совета при президенте по науке и образованию посвященное стратегии научнотехнологического развития страны и новому направлению деятельности рнф видео","Новости Фонда"
"день российской науки грантополучатели рнф рассказали о передовых научных исследованиях в россии и мировых трендах в науке видео","Новости Фонда"
"двигаться с прогрессом известия собрали перспективные разработки российских исследователей","СМИ о Фонде"
"александр хлунов поздравил ученых с днем российской науки","Новости Фонда"
"российские ученые нашли новый класс материалов для создания безопасных аккумуляторов","Химия и материалы"
"объявлены лауреаты премии президента в области науки и инноваций для молодых ученых за год","Новости Фонда"
"состоялся вебинар посвященный специфике заявок для участия в конкурсах рнф по направлению микроэлектроника видео","Новости Фонда"
"ученые скфу упростили процесс получения антибиотиков хинолонового ряда","Химия и материалы"
"марганцевый катализатор упростит получение водородного топлива","Химия и материалы"
"экологи создали методику оценки загрязнения зерновых культур тяжелыми металлами","Науки о Земле"
"февраля рнф проведет вебинар посвященный специфике заявок для участия в конкурсах по направлению микроэлектроника","Новости Фонда"
"ученые предложили новые износостойкие покрытия для нефтегазовой отрасли","Инженерные науки"
"в день российской науки грантополучатели рнф расскажут о передовых отечественных исследованиях","Новости Фонда"
"открыт прием заявок на четвертый международный конкурс для российскокитайских научных коллективов","Новости Фонда"
"деполярное устройство ученые нашли способ определять предвестники инсульта","Медицина"
"физики показали новый способ предсказания свойств магнитных сплавов с помощью машинного обучения","Химия и материалы"
"ученые научились модифицировать молекулы с помощью кремния для создания противовоспалительных препаратов","Химия и материалы"
"найдены антибиотики для безопасного лечения бактериальных инфекций у новорожденных","Медицина"
"обнаружены аномально высокие внутренние волны в проливе карские ворота","Науки о Земле"
"ученые ускорят поиск новых лекарств с помощью машинного обучения","Биология"
"опубликован перечень поручений по итогам встречи с участниками iii конгресса молодых ученых","Новости Фонда"
"в лэти создали жидкий зонд для решения проблем новых полупроводников","Инженерные науки"
"таяние ледников антарктиды приводит к выделению метана из древних мхов","Науки о Земле"
"медики изучили как мозг детей с артрогрипозом обрабатывает слова","Медицина"
"ученые предложили ловить пары сжиженного природного газа губчатым аккумулятором","Химия и материалы"
"физики создали метод быстрого изучения квантовых систем","Математика"
"севастопольские гидрофизики выяснили что влияет на соленость чукотского моря","Науки о Земле"
"ученые показали как добавление примесей в термоэлектрические материалы влияет на их механические свойства","Физика и космос"
"ученые получили фторированные хромоны обладающие активностью в отношении вируса гриппа а","Химия и материалы"
"разработаны новые безопасные материалы для рентгеновских аппаратов","Химия и материалы"
"ученые сравнили традиционный и микроволновый пиролиз для разного органического сырья","Инженерные науки"
"ученые узнали все способы спрессовать лантан магний и водород в кристалл нашли сверхпроводники и новые материалы","Физика и космос"
"сплав никеля марганца олова и меди сделает холодильники экологичнее","Инженерные науки"
"спецпроект дайджеста рнф передовые технологии в энергетике","Новости Фонда"
"ученые мфти исследовали свойства нового ферромагнетика","Физика и космос"
"инструмент для управления электронами физики научились создавать временную форму оптических импульсов","Физика и космос"
"с помощью зонда нанокапилляры помогут создать лекарства будущего","СМИ о Фонде"
"ученые нгу разработали сервис для обработки микроизображений","Химия и материалы"
"математики описали синхронизирование колебаний нейронов","Математика"
"ученые создали керамику без свинца с улучшенными свойствами","Физика и космос"
"ученые создали новый подход к лечению рака использовав полимерные наночастицы с куркумином","Медицина"
"ученые раскрыли функции вирусных белков","Биология"
"в клетках человека выявлен железосерный контроль качества","Биология"
"создан метод получения до полезных элементов из угольной золы","Химия и материалы"
"ученые создали онлайнкарту топонимов карелии и соседних регионов","Гуманитарные науки"
"глиомные клетки обмениваются генетической информацией с помощью вирусподобных частиц","Биология"
"что будет если ударить по атому урана","Физика и космос"
"итоги года рнф и ведомости рассказали о ярких результатах исследований российских ученых","Новости Фонда"
"цифровые аналоги клеток мозга на улучшили память нейросетей","Физика и космос"
"раскрыт клеточный механизм развития хронических вирусных инфекций","Математика"
"краски каменного века","Гуманитарные науки"
"винную кислоту превратили в катализатор для производства витаминов","Химия и материалы"
"электромембранные технологии для водоподготовки","Химия и материалы"
"создан катализатор для эффективного производства ненасыщенных спиртов","Химия и материалы"
"ученые выяснили как получить днк высокого качества из морских образцов","Биология"
"валерий стенников благодаря поддержке фонда мы создали группу единомышленников","Интервью"
"потепление климата приведет к исчезновению дальневосточной ели в долинах","Биология"
"физики вырастили микроалмазы с оловом для квантовых компьютеров","Физика и космос"
"новые комплексы иттербия с управляемыми свойствами для медицины и электроники","Химия и материалы"
"разработана технология прямой лазерной записи дифракционных структур на двухслойных материалах","Инженерные науки"
"в россии создали щадящий подход для изучения радиационного дерматита","Химия и материалы"
"подведены итоги первого конкурса рнф и национального научного фонда ирана insf","Новости Фонда"
"опубликован новый выпуск дайджеста новостей фонда","Новости Фонда"
"российские ученые открыли новые свойства соединений пятивалентного нептуния","Химия и материалы"
"российские ученые улучшили мембраны для очистки и обессоливания воды","Химия и материалы"
"горячие электроны охлаждают солнечную систему","Физика и космос"
"российские ученые разработали новое лекарство от коронавируса подавляющее репликацию рнк","Биология"
"геометрия молекулы российские ученые создали противораковые соединения на основе куркумина и фтора","Химия и материалы"
"раскрыты различия в активности мозга при реальных и воображаемых действиях","Медицина"
"физики скорректировали критерий перехода открытой квантовой системы в режим сильной связи","Физика и космос"
"иаэт запустил виртуальный тур к высокогорному памятнику наскального искусства","СМИ о Фонде"
"в россии предложили схему лечения при дегенерации мозжечка","Медицина"
"ученые нашли способ повысить эффективность лучевой терапии","СМИ о Фонде"
"состоялся вебинар молодежные программы поддержки рнф в области фундаментальных и поисковых исследований видео","Новости Фонда"
"ученые фиан поняли как улучшить защиту алмазов от подделки","Инженерные науки"
"рнф объявляет конкурсов на получение грантов в рамках стратегических инициатив президента рф в научнотехнологической сфере по направлению микроэлектроника","Новости Фонда"
"генетики выяснили какие преимущества получил табак став природным гмо","Биология"
"ученые обнаружили границу распространения антарктических донных вод в северной атлантике","Науки о Земле"
"альтернатива традиционным антибиотикам бактерицидный материал на основе наночастиц серебра","Химия и материалы"
"в москве наградили лауреатов международной премии юнескороссии имени ди менделеева","Новости Фонда"
"адресная платформа химиотерапии российские ученые создали таргосомы для комплексного лечения и диагностики рака","Химия и материалы"
"изучена структура бактериофага кишечной палочки для борьбы с инфекциями","Биология"
"эксперты и грантополучатели фонда лауреаты научной премии сбера","Новости Фонда"
"физики научились управлять потерями энергии в оптическом микрорезонаторе","Физика и космос"
"бром и йод сделали гибридный dматериал более стабильным","Химия и материалы"
"ученые томского политеха предложили новую технологию создания гибкой электроники","Физика и космос"
"ученые обнаружили новый антимикробный пептид в гепатопанкреасе камчатского краба","Биология"
"вайфайные пути современная техника мешает внедрению сетей нового поколения","Инженерные науки"
"ученые грунт в арктике выделяет до больше со чем природная почва","Науки о Земле"
"объявление о технических работах на сайте фонда","Новости Фонда"
"палеогенетики выявили в днк новосибирского андроновца необычную yхромосомную гаплогруппу","Гуманитарные науки"
"ученые объяснили причину изменчивости океанических течений на глубине более метров","Науки о Земле"
"рнф подвел итоги семи конкурсов на получение грантов по направлению микроэлектроника","Новости Фонда"
"точность диагностики рака кожи повысили с помощью нейросети","Математика"
"в петербурге создали систему для обнаружения кибератак ранее неизвестного типа","Математика"
"обнаружена суперустойчивая траектория светового луча","Физика и космос"
"ученые создали прототип источника электронных пучков для обработки протяженных деталей","Инженерные науки"
"ученые дгту не обнаружили особо опасных бактерий у летучих мышей в спячке","Биология"
"простой и доступный метод позволяющий отслеживать эволюцию катализатора на протяжении химической реакции","Химия и материалы"
"ученые измерили аномально быстрые течения на границе океанических вихрей в атлантике","Науки о Земле"
"очень медленное движение атомов повлияло на их свечение","Физика и космос"
"российские ученые считают что потеплению климата могут помешать микробы","Медицина"
"в петербурге разработали способ синтеза наночастиц магнетита для мрт с контрастом","Химия и материалы"
"разработана нейросеть для выявления кибератак на системы водоочистки городов","Математика"
"ученые скфу разработали биосовместимые материалы для тканевой инженерии и хирургии","Биология"
